,timestamp,symbol,open,high,low,close,trades,volume,vwap,lastSize,turnover,homeNotional,foreignNotional
0,2020-06-11 15:55:00+00:00,XBTUSD,9526.5,9527.0,9526.5,9527.0,170,401730,9527.439,100,4216753668,42.16753668000001,401730.0
1,2020-06-11 15:56:00+00:00,XBTUSD,9527.0,9526.5,9519.5,9520.0,403,1039551,9521.9958,500,10917677018,109.17677017999998,1039551.0
2,2020-06-11 15:57:00+00:00,XBTUSD,9520.0,9520.0,9515.5,9515.5,279,1175472,9517.4645,10,12351220569,123.51220569000003,1175472.0
3,2020-06-11 15:58:00+00:00,XBTUSD,9515.5,9518.0,9511.0,9518.0,616,3094915,9513.8426,200,32531412474,325.31412474000007,3094915.0
4,2020-06-11 15:59:00+00:00,XBTUSD,9518.0,9518.0,9506.5,9507.0,465,2256735,9512.9376,98,23724315255,237.24315255000002,2256735.0
5,2020-06-11 16:00:00+00:00,XBTUSD,9507.0,9512.0,9506.5,9507.5,374,2864210,9509.3191,1540,30122666869,301.22666869,2864210.0
6,2020-06-11 16:01:00+00:00,XBTUSD,9507.5,9507.5,9450.0,9464.5,4926,27304688,9479.5715,2000,288049784296,2880.497842959999,27304688.0
7,2020-06-11 16:02:00+00:00,XBTUSD,9464.5,9490.5,9465.0,9490.0,1655,8146426,9476.8764,763,85966654103,859.6665410299998,8146426.0
8,2020-06-11 16:03:00+00:00,XBTUSD,9490.0,9517.0,9487.0,9517.0,1646,6920770,9505.7034,10002,72811650565,728.11650565,6920770.0
9,2020-06-11 16:04:00+00:00,XBTUSD,9517.0,9537.5,9517.0,9537.0,1580,5776344,9530.163,991,60615156755,606.15156755,5776344.0
10,2020-06-11 16:05:00+00:00,XBTUSD,9537.0,9537.0,9520.0,9520.0,619,3081840,9531.0713,100,32337188478,323.37188478,3081840.0
11,2020-06-11 16:06:00+00:00,XBTUSD,9520.0,9534.0,9520.0,9533.5,592,1442794,9529.2548,2257,15141041473,151.41041472999996,1442794.0
12,2020-06-11 16:07:00+00:00,XBTUSD,9533.5,9550.5,9534.0,9536.5,1298,7013904,9544.717,42,73486788820,734.8678881999998,7013904.0
13,2020-06-11 16:08:00+00:00,XBTUSD,9536.5,9548.5,9535.0,9542.0,561,2745107,9544.717,500,28763064417,287.63064417000004,2745107.0
14,2020-06-11 16:09:00+00:00,XBTUSD,9542.0,9542.5,9533.5,9533.5,304,843987,9539.254,141,8848291858,88.48291858,843987.0
15,2020-06-11 16:10:00+00:00,XBTUSD,9533.5,9536.0,9531.5,9532.0,281,1069778,9532.8885,5503,11222186130,112.2218613,1069778.0
16,2020-06-11 16:11:00+00:00,XBTUSD,9532.0,9535.5,9531.0,9531.0,246,1064272,9533.7973,2,11164200770,111.64200770000001,1064272.0
17,2020-06-11 16:12:00+00:00,XBTUSD,9531.0,9533.0,9518.0,9518.5,628,1912532,9528.3468,1000,20073193547,200.73193547,1912532.0
18,2020-06-11 16:13:00+00:00,XBTUSD,9518.5,9530.0,9518.0,9529.5,486,1493091,9529.2548,1000,15669862911,156.69862910999996,1493091.0
19,2020-06-11 16:14:00+00:00,XBTUSD,9529.5,9532.0,9529.0,9531.5,208,927822,9531.0713,100,9734802712,97.34802712000001,927822.0
20,2020-06-11 16:15:00+00:00,XBTUSD,9531.5,9538.5,9531.5,9538.5,310,1704288,9532.8885,4000,17878492012,178.78492012000007,1704288.0
21,2020-06-11 16:16:00+00:00,XBTUSD,9538.5,9538.5,9531.5,9532.0,251,1036069,9533.7973,900,10868082445,108.68082444999999,1036069.0
22,2020-06-11 16:17:00+00:00,XBTUSD,9532.0,9532.5,9529.0,9532.5,259,426668,9530.163,500,4477113540,44.7711354,426668.0
23,2020-06-11 16:18:00+00:00,XBTUSD,9532.5,9532.5,9521.0,9521.0,400,1197355,9528.3468,546,12566604110,125.66604109999999,1197355.0
24,2020-06-11 16:19:00+00:00,XBTUSD,9521.0,9529.0,9521.0,9523.0,263,590305,9523.8095,4792,6198735340,61.987353399999996,590305.0
25,2020-06-11 16:20:00+00:00,XBTUSD,9523.0,9523.0,9505.0,9505.5,892,3834561,9514.7479,100,40304771974,403.04771974000005,3834561.0
26,2020-06-11 16:21:00+00:00,XBTUSD,9505.5,9505.5,9465.5,9498.5,1933,9325542,9487.666,4,98295762568,982.9576256800001,9325542.0
27,2020-06-11 16:22:00+00:00,XBTUSD,9498.5,9499.0,9491.5,9493.0,448,2366114,9493.9713,50,24922656107,249.22656106999997,2366114.0
28,2020-06-11 16:23:00+00:00,XBTUSD,9493.0,9497.5,9473.0,9497.0,1226,6422919,9488.5663,400,67696628133,676.9662813299999,6422919.0
29,2020-06-11 16:24:00+00:00,XBTUSD,9497.0,9504.5,9497.5,9500.0,438,1489491,9502.0905,165,15676860683,156.76860683000004,1489491.0
30,2020-06-11 16:25:00+00:00,XBTUSD,9500.0,9505.0,9500.0,9504.5,280,983843,9504.7999,2500,10351649463,103.51649463000001,983843.0
31,2020-06-11 16:26:00+00:00,XBTUSD,9504.5,9513.0,9503.0,9513.0,466,1684110,9506.6071,1427,17716562331,177.16562331,1684110.0
32,2020-06-11 16:27:00+00:00,XBTUSD,9513.0,9513.0,9505.5,9505.5,203,830756,9509.3191,9000,8736660904,87.36660903999999,830756.0
33,2020-06-11 16:28:00+00:00,XBTUSD,9505.5,9516.0,9505.5,9511.5,458,1661392,9512.0327,500,17467195521,174.67195521000002,1661392.0
34,2020-06-11 16:29:00+00:00,XBTUSD,9511.5,9514.0,9511.5,9514.0,213,958965,9512.9376,5000,10081519171,100.81519170999998,958965.0
35,2020-06-11 16:30:00+00:00,XBTUSD,9514.0,9514.0,9513.5,9514.0,121,578293,9514.0,100,6078437723,60.784377230000004,578293.0
36,2020-06-11 16:31:00+00:00,XBTUSD,9514.0,9514.0,9500.0,9500.0,781,4017757,9502.9934,485,42281042648,422.81042647999993,4017757.0
37,2020-06-11 16:32:00+00:00,XBTUSD,9500.0,9500.5,9497.5,9498.0,265,1108108,9500.285,12516,11664813009,116.64813008999998,1108108.0
38,2020-06-11 16:33:00+00:00,XBTUSD,9498.0,9498.0,9483.5,9493.0,809,3187564,9489.4667,5000,33592886794,335.92886794000003,3187564.0
39,2020-06-11 16:34:00+00:00,XBTUSD,9493.0,9493.0,9481.5,9486.0,404,2197222,9489.4667,21282,23155547980,231.55547980000003,2197222.0
